Player, %AST, %OREB, %DREB, %STL, %BLK, FREQ_6, Diff%_6, FREQ_15, Diff%_15, Freq_Handoff_Off, eFG%_Handoff_Off, Freq_Iso_Def, eFG%_Iso_Def, Freq_Iso_Off, eFG%_Iso_Off, Freq_OffScreen_Off, eFG%_OffScreen_Off, Freq_P&R_Handler_Off, eFG%_P&R_Handler_Off, Freq_P&R_Man_Off, eFG%_P&R_Man_Off, Freq_Postup_Off, eFG%_Postup_Off, Freq_Putbacks_Off, eFG%_Putbacks_Off, Freq_Spotup_Off, eFG%_Spotup_Off, Freq_Tight, eFG%_Tight, Freq_Open, eFG%_Open, FGA_Catch_And_Shoot, EFG%_Catch_And_Shoot, FGA_Pull_Up, EFG%_Pull_Up, DRIVES_Drives, FG%_Drives
Reggie Jackson, 86, 24, 18, 35, 11, 30, 81, 56, 46, 51, 49, 25, 3, 94, 58, 51, 95, 95, 74, 4, 17, 23, 22, 28, 33, 34, 31, 45, 24, 85, 18, 69, 26, 94, 54, 91, 40
Richaun Holmes, 17, 90, 89, 2, 86, 97, 94, 5, 3, 6, 3, 42, 27, 29, 29, 44, 38, 34, 33, 97, 87, 78, 100, 94, 83, 15, 99, 88, 95, 26, 86, 27, 72, 16, 25, 11, 99
Robert Covington, 17, 53, 73, 93, 88, 69, 68, 37, 73, 42, 46, 70, 26, 23, 23, 50, 38, 34, 34, 71, 69, 23, 23, 62, 70, 99, 50, 28, 7, 93, 75, 86, 66, 37, 93, 35, 16
Robert Williams III, 40, 97, 79, 57, 98, 7, 97, 83, 93, 6, 1, 95, 48, 30, 30, 42, 40, 28, 35, 83, 90, 23, 26, 99, 77, 2, 9, 95, 98, 17, 97, 5, 3, 3, 99, 5, 1
Rodney Hood, 31, 34, 12, 9, 27, 67, 7, 28, 3, 35, 1, 3, 97, 23, 23, 42, 44, 20, 34, 3, 16, 24, 23, 7, 14, 1, 10, 14, 7, 85, 28, 25, 30, 46, 44, 25, 33
Rodney McGruder, 36, 59, 33, 35, 19, 82, 78, 22, 69, 66, 67, 35, 82, 22, 22, 80, 96, 43, 36, 3, 16, 24, 23, 67, 69, 88, 100, 51, 28, 67, 81, 51, 91, 32, 42, 31, 78
Romeo Langford, 2, 51, 17, 44, 52, 18, 98, 26, 94, 32, 5, 89, 87, 15, 15, 41, 48, 51, 62, 3, 15, 24, 23, 73, 74, 97, 65, 52, 28, 16, 15, 32, 36, 32, 91, 38, 38
Royce O'Neale, 55, 42, 45, 74, 36, 40, 62, 63, 15, 32, 6, 60, 43, 16, 16, 39, 47, 21, 21, 71, 53, 25, 24, 59, 37, 99, 87, 6, 70, 9, 70, 72, 74, 26, 95, 38, 77
Rudy Gay, 33, 65, 71, 23, 59, 19, 77, 73, 13, 33, 24, 83, 3, 54, 44, 44, 49, 47, 96, 74, 65, 88, 95, 78, 95, 87, 36, 53, 26, 81, 28, 65, 45, 61, 44, 33, 6
Rudy Gobert, 4, 94, 99, 19, 99, 36, 99, 22, 36, 32, 11, 44, 26, 16, 16, 49, 47, 21, 22, 96, 93, 79, 94, 96, 91, 1, 9, 99, 98, 4, 99, 6, 5, 7, 6, 8, 36
Rui Hachimura, 17, 52, 62, 46, 26, 29, 30, 88, 61, 51, 99, 92, 8, 80, 50, 48, 46, 41, 49, 64, 97, 87, 81, 56, 96, 82, 56, 40, 65, 70, 57, 67, 95, 70, 31, 49, 73
Russell Westbrook, 97, 64, 75, 41, 15, 48, 11, 60, 49, 44, 56, 32, 73, 97, 83, 50, 98, 80, 71, 2, 26, 79, 68, 52, 34, 25, 36, 71, 38, 40, 19, 35, 23, 87, 40, 98, 54
Saddiq Bey, 60, 56, 53, 39, 14, 63, 73, 40, 40, 67, 66, 88, 72, 84, 70, 85, 65, 60, 55, 58, 78, 77, 68, 61, 48, 69, 49, 18, 18, 79, 34, 97, 70, 79, 35, 74, 30
Sandro Mamukelashvili, 39, 81, 51, 21, 72, 3, 44, 0, 83, 30, 10, 5, 96, 16, 16, 47, 45, 22, 22, 1, 28, 25, 25, 11, 7, 4, 11, 76, 76, 6, 97, 21, 95, 7, 50, 18, 89
Scottie Barnes, 68, 73, 63, 32, 65, 83, 69, 26, 64, 39, 77, 77, 56, 89, 73, 46, 45, 50, 95, 66, 61, 88, 82, 81, 82, 33, 20, 84, 78, 38, 32, 58, 18, 67, 46, 68, 39
Serge Ibaka, 30, 85, 83, 1, 94, 37, 83, 24, 10, 23, 10, 9, 97, 17, 17, 46, 44, 23, 30, 1, 25, 26, 25, 10, 1, 12, 12, 60, 85, 48, 77, 50, 46, 21, 35, 14, 97
Seth Curry, 69, 6, 10, 36, 9, 9, 19, 85, 25, 91, 98, 38, 75, 46, 47, 88, 84, 89, 91, 7, 24, 26, 25, 9, 1, 50, 68, 41, 59, 92, 78, 78, 98, 89, 90, 69, 83
Shai Gilgeous-Alexander, 94, 23, 41, 68, 73, 60, 66, 81, 68, 37, 95, 11, 86, 99, 83, 56, 62, 94, 68, 12, 24, 64, 90, 30, 78, 21, 52, 1, 3, 1, 2, 3, 0, 5, 1, 0, 2
Shake Milton, 76, 40, 19, 22, 37, 24, 69, 46, 54, 67, 62, 40, 25, 60, 45, 60, 52, 88, 64, 12, 23, 26, 25, 52, 95, 65, 35, 75, 23, 52, 13, 32, 44, 69, 40, 77, 44
Spencer Dinwiddie, 93, 39, 38, 47, 14, 13, 14, 79, 48, 54, 45, 34, 34, 95, 59, 45, 37, 97, 69, 11, 5, 17, 26, 41, 29, 33, 65, 68, 13, 62, 40, 43, 68, 83, 56, 90, 60
Stanley Johnson, 45, 53, 39, 76, 43, 88, 14, 10, 32, 24, 8, 72, 57, 17, 17, 45, 30, 39, 100, 67, 48, 36, 26, 63, 97, 89, 32, 27, 72, 25, 54, 45, 21, 33, 97, 43, 80
Stephen Curry, 84, 12, 52, 53, 25, 34, 57, 65, 10, 93, 68, 62, 5, 79, 97, 98, 85, 82, 91, 49, 73, 25, 26, 26, 84, 22, 66, 48, 75, 89, 57, 93, 79, 98, 89, 87, 70
Sterling Brown, 26, 64, 82, 21, 47, 54, 25, 36, 2, 24, 7, 68, 58, 17, 17, 38, 30, 50, 99, 9, 3, 25, 14, 70, 29, 95, 29, 18, 6, 72, 49, 31, 21, 30, 71, 32, 72
Steven Adams, 75, 96, 85, 43, 74, 83, 72, 8, 7, 25, 6, 13, 39, 46, 93, 30, 29, 23, 23, 79, 79, 91, 89, 99, 50, 14, 17, 97, 69, 8, 90, 5, 7, 11, 10, 13, 51
Svi Mykhailiuk, 45, 32, 32, 49, 6, 50, 70, 91, 55, 92, 73, 38, 83, 17, 17, 86, 52, 61, 44, 7, 3, 20, 54, 57, 32, 68, 36, 25, 15, 81, 7, 33, 28, 48, 40, 36, 29
Taj Gibson, 8, 85, 61, 31, 92, 49, 63, 70, 95, 26, 12, 33, 11, 18, 18, 30, 28, 23, 24, 89, 57, 76, 99, 97, 42, 32, 96, 58, 81, 44, 59, 23, 52, 12, 18, 6, 2
Talen Horton-Tucker, 70, 43, 27, 84, 56, 16, 40, 75, 44, 75, 81, 72, 36, 79, 48, 64, 86, 77, 80, 60, 66, 66, 65, 41, 34, 44, 19, 1, 0, 1, 0, 2, 1, 6, 1, 1, 3
Taurean Prince, 22, 32, 54, 60, 50, 57, 1, 66, 72, 56, 93, 77, 46, 48, 99, 71, 80, 47, 58, 64, 81, 19, 24, 48, 26, 90, 88, 27, 77, 62, 62, 59, 73, 44, 74, 36, 91
Terance Mann, 59, 67, 55, 30, 21, 79, 69, 18, 69, 43, 43, 45, 62, 65, 48, 58, 68, 68, 74, 7, 1, 31, 24, 70, 43, 42, 81, 43, 68, 55, 32, 28, 84, 71, 41, 69, 53
Terrence Ross, 55, 13, 24, 14, 23, 31, 13, 81, 13, 99, 61, 19, 13, 70, 68, 97, 84, 82, 54, 20, 1, 35, 22, 10, 5, 35, 54, 89, 17, 47, 26, 59, 25, 82, 53, 61, 72
Terry Rozier, 70, 30, 30, 66, 28, 55, 23, 49, 20, 85, 72, 47, 62, 67, 78, 91, 93, 70, 57, 52, 72, 34, 19, 48, 93, 55, 78, 63, 37, 73, 52, 97, 79, 88, 79, 89, 57
Thaddeus Young, 74, 84, 68, 98, 66, 54, 20, 70, 24, 28, 32, 5, 97, 18, 18, 29, 30, 24, 24, 42, 7, 32, 22, 12, 6, 13, 4, 94, 84, 3, 4, 15, 66, 23, 23, 22, 91
Thanasis Antetokounmpo, 20, 83, 62, 74, 78, 2, 41, 1, 85, 28, 34, 3, 95, 18, 18, 29, 27, 24, 25, 40, 13, 30, 27, 14, 6, 11, 4, 93, 83, 8, 91, 7, 5, 18, 17, 23, 50
Theo Maledon, 77, 38, 44, 86, 38, 81, 59, 29, 61, 60, 86, 15, 25, 63, 71, 68, 65, 74, 69, 45, 13, 30, 27, 46, 37, 86, 17, 33, 39, 44, 8, 44, 14, 50, 70, 75, 27
Tim Hardaway Jr., 49, 5, 38, 66, 12, 45, 28, 43, 22, 92, 73, 48, 15, 64, 75, 83, 72, 69, 59, 58, 71, 28, 34, 7, 7, 74, 44, 62, 15, 88, 20, 94, 40, 86, 57, 46, 28
Timothe Luwawu-Cabarrot, 26, 35, 14, 37, 32, 5, 55, 68, 30, 23, 27, 86, 45, 19, 19, 28, 26, 49, 41, 46, 12, 8, 33, 1, 7, 97, 45, 0, 2, 1, 2, 2, 0, 1, 2, 2, 3
Tobias Harris, 65, 60, 70, 7, 49, 62, 10, 30, 56, 46, 81, 93, 61, 83, 65, 66, 54, 70, 88, 63, 52, 90, 88, 57, 71, 55, 56, 83, 36, 42, 80, 66, 49, 78, 64, 86, 54
Tomas Satoransky, 93, 46, 34, 71, 7, 42, 30, 85, 56, 29, 28, 2, 99, 19, 19, 28, 26, 25, 25, 31, 12, 6, 29, 2, 8, 11, 1, 60, 10, 56, 10, 13, 8, 43, 22, 66, 24
